fid,username,user_display_name,user_pfp_url,eth_address,app_name,icon_url,domain,official_trending_score,momentum,arbitrum_txs,arbitrum_users,engagement_ratio,arbitrum_percentage,arbitrum_tx_score,arbitrum_user_score,arbitrum_focus_score,dedication_bonus,arbitrum_weighted_score,App Score,Escrow Address,Escrow Active
13874,thedude,The Dude Bart🐘🌳 ⌐◨-◨,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/77692cb0-6fb5-40c7-ced3-42353e178b00/original,0xdd8a40a15f0fe67d4ec52adf0ee24489e8d8a58a,Bribe,https://bribe-lyart.vercel.app/iconUrl.png,bribe-lyart.vercel.app,19.02,1.622,589,49,12.02,100,5.542,5.097,10,5,28.04,2804,,FALSE
513318,0xsayan.eth,↑ SAYAN 🎩🌈🐰,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c8407bd6-2717-4b87-f3b8-9472134b2c00/original,0xcba27a19eba7587de72502a461a021cf53acd8ff,Lucky Cloud,https://lucky-cloud.vercel.app/icon.png,lucky-cloud.vercel.app,12.69,1.575,147,76,1.93,100,4.341,5.659,10,5,23.37,2337,,FALSE
513318,0xsayan.eth,↑ SAYAN 🎩🌈🐰,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c8407bd6-2717-4b87-f3b8-9472134b2c00/original,0xcba27a19eba7587de72502a461a021cf53acd8ff,Brain Clash,https://brain-clash.vercel.app/icon.png,brain-clash.vercel.app,14.54,1.348,251,67,3.75,99.6,4.803,5.498,9.98,5,22.36,2236,,FALSE
1142539,divi280605,Divyansh Sharma,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/73bf6504-3cb5-45ec-11f0-8080bd79d900/original,0x2852117726872564a8bd973a99238a397b2831bf,ArbJump,https://arb-jump.vercel.app/icon.png,arb-jump.vercel.app,13.56,1.545,60,16,3.75,98.36,3.571,3.691,9.918,5,21.85,2185,,FALSE
249702,0xanas.eth,Anas,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/b88d0e31-207f-4384-4ee9-211e8ebdfd00/original,0xe6cfdaf74bfec00fafde9724a46cb052548c8488,WAGMI Blaster,https://wagmi-blaster.vercel.app/images/icon.jpg,wagmi-blaster.vercel.app,9.81,1.504,756,75,10.08,99.34,5.758,5.642,9.967,5,21.74,2174,0x3a0c3E61b9a0194A765DCC6A5465A8801da16448,TRUE
537378,gmonchain.eth,GMonchain.base.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c626c36d-6fbe-4aab-4623-392b21089d00/original,0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,The Recognizer,https://github.com/gmonchain/Assets/blob/main/The%20Recognizer/logo.png?raw=true,therecognizer.xyz,10.75,1.436,730,28,26.07,100,5.728,4.387,10,5,20.88,2088,,FALSE
284713,pavankumarkr,lio10.base.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c798fbd0-3f51-4257-ae3e-f9d6116f2a00/original,0x95e9da91b94ae7ddb4c2244bd5f6992c31116879,BRAIN.exe!,https://mindgame-omega.vercel.app/splash.png,mindgame-omega.vercel.app,5.68,1.738,195,14,13.93,99.49,4.585,3.528,9.974,5,19.45,1945,0x76dB53f25D3de8D1b2E4524e5feB22254D3457A0,FALSE
1041585,qrcoindotfun,qrcoin.fun,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/1a6c9d61-f537-44ea-17c8-1126fdaccc00/original,0x27bcc2c052f49a24bf5fff0d4c136ae7d208ee85,$QR,https://qrcoin.fun/qrLogo.png,qrcoin.fun,26.94,1.222,10,7,1.43,0.19,2.083,2.709,0.434,0,18.72,1872,,FALSE
268438,cashlessman.eth,cashlessman 🎩,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/a74b030e-2d92-405c-c2d0-1696f5d51d00/original,0x6100b29a235ebb272f4b10c1964ad9692ee67e13,2048,https://arb-counter.vercel.app/images/logo.png,arb-counter.vercel.app,10.43,1.407,32,12,2.67,100,3.037,3.342,10,5,18.29,1829,,FALSE
249702,0xanas.eth,Anas,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/b88d0e31-207f-4384-4ee9-211e8ebdfd00/original,0xe6cfdaf74bfec00fafde9724a46cb052548c8488,Chain Crush,https://chain-crush-black.vercel.app//images/icon.jpg,chain-crush-black.vercel.app,11.42,1.008,716,49,14.61,99.58,5.711,5.097,9.979,5,17.25,1725,,FALSE
1108574,harshshukla,hsrah,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/e0347242-34e2-4135-c06d-e9ebda51be00/original,0xd85395def3d633e786291bf9de54d324eebc7917,Flapbitrum,https://flapbitrum.vercel.app/images/logo.png,flapbitrum.vercel.app,7.35,1.488,68,8,8.5,100,3.678,2.863,10,5,17.23,1723,0x0826Dc45Ca7e5C526D11dBD5315C057Bc93E03b8,FALSE
